site_id,date,site_orders,site_views,site_units,site_revenue,impressions,clicks,channel_orders,cost,channel_revenue,channel_aov,cr,site_aov,cos
7,3/21/2017,0,257,0,0.00,3049,55,0,18.85,0.00,,0.0000,,
6,3/4/2017,1686,227726,6337,163606.50,47905,648,32,222.24,1212.06,37.87687498,0.0494,97.0383,0.1834
28,3/14/2017,0,5587,0,0.00,174641,1800,68,725.36,2613.35,38.43161782,0.0378,,0.2776
9,3/4/2017,218,25900,708,40365.75,357431,5927,92,1303.03,17833.20,193.8391312,0.0155,185.1640,0.0731
29,3/2/2017,8,1032,10,420.95,22573,405,4,111.7,441.53,110.3825006,0.0099,52.6187,0.2530
24,3/20/2017,16,1033,31,665.07,32735,423,4,57.8,133.19,33.29749966,0.0095,41.5669,0.4340
5,3/18/2017,55,7998,374,2403.81,136559,1464,16,169.32,551.31,34.45687442,0.0109,43.7056,0.3071
30,3/22/2017,764,92367,3904,61802.58,44399,551,6,132.91,201.93,33.65500037,0.0109,80.8934,0.6582
7,3/18/2017,0,249,0,0.00,2546,28,0,8.84,0.00,,0.0000,,
31,2/26/2017,172,16972,1123,14326.89,49261,1060,11,300.03,510.78,46.43454573,0.0104,83.2959,0.5874
11,2/23/2017,43,4166,54,3129.30,78131,1375,30,365.4,2415.20,80.50666656,0.0218,72.7744,0.1513
31,3/12/2017,174,17974,897,18565.81,44268,974,14,245.27,743.20,53.08571429,0.0144,106.7001,0.3300
32,3/9/2017,9,1771,22,20359.00,24685,290,3,233.82,5559.46,1853.15328,0.0103,2262.1111,0.0421
17,3/10/2017,91,12314,234,11442.95,66522,1086,14,228.48,1718.91,122.7792879,0.0129,125.7467,0.1329
31,3/8/2017,89,13004,518,6918.74,44389,812,6,244.28,243.43,40.57166704,0.0074,77.7387,1.0035
33,3/3/2017,1029,22999,4184,101849.46,123367,998,46,1338.71,2528.25,54.96195644,0.0461,98.9791,0.5295
34,2/24/2017,21,4706,36,3589.39,32328,491,5,170.36,760.60,152.1199966,0.0102,170.9233,0.2240
25,3/2/2017,404,6062,996,17515.12,0,0,0,0,0.00,,,43.3543,
35,3/21/2017,4643,1960,10722,249208.28,85202,556,21,294.79,1015.67,48.36523851,0.0378,53.6740,0.2902
36,3/18/2017,11,2980,16,1951.50,4166,48,0,31.37,0.00,,0.0000,177.4091,
37,3/2/2017,444,20234,1164,54866.92,72132,790,13,823.95,763.19,58.70692312,0.0165,123.5741,1.0796
3,2/28/2017,72,1734,580,2983.80,106712,1231,68,162.84,2490.20,36.62058827,0.0552,41.4417,0.0654
38,3/4/2017,2,289,7,495.93,7505,93,1,37.68,99.99,99.98999786,0.0108,247.9650,0.3768
22,3/14/2017,14,5102,14,12317.70,18949,115,1,126.84,417.05,417.0499878,0.0087,879.8357,0.3041
37,3/5/2017,715,32816,2405,100920.46,72144,935,21,597.49,1784.34,84.96857171,0.0225,141.1475,0.3349
11,2/27/2017,56,4456,67,3367.07,86536,1566,39,406.05,4269.15,109.4653846,0.0249,60.1262,0.0951
36,3/17/2017,24,3657,35,3666.50,3494,41,1,43.16,190.00,190,0.0244,152.7708,0.2272
39,2/23/2017,23,1287,123,1410.62,56570,979,9,104.09,497.41,55.26777734,0.0092,61.3313,0.2093
8,2/23/2017,893,15260,1456,27426.81,37590,438,39,69.33,1549.61,39.73358947,0.0890,30.7131,0.0447
39,3/20/2017,31,1177,145,1132.90,55667,866,13,114.95,582.98,44.84461535,0.0150,36.5452,0.1972
21,3/16/2017,10,843,15,450.54,20211,227,4,21.03,317.25,79.31250095,0.0176,45.0540,0.0663
40,3/3/2017,19,760,40,3828.00,358,2,0,3.2,0.00,,0.0000,201.4737,
39,2/28/2017,26,1012,94,1283.17,55246,973,15,99.04,662.38,44.15866699,0.0154,49.3527,0.1495
25,3/4/2017,198,4265,466,6285.21,0,0,0,0,0.00,,,31.7435,
18,3/8/2017,551,24307,4117,98688.39,29295,471,14,87.32,772.75,55.1964283,0.0297,179.1078,0.1130
